Date,CAC40,FTSE100,DAX
2022-01-03,7217.22021484375,,16020.73046875
2022-01-04,7317.41015625,7505.2001953125,16152.6103515625
2022-01-05,7376.3701171875,7516.89990234375,16271.75
2022-01-06,7249.66015625,7450.39990234375,16052.0302734375
2022-01-07,7219.47998046875,7485.2998046875,15947.740234375
2022-01-10,7115.77001953125,7445.2998046875,15768.26953125
2022-01-11,7183.3798828125,7491.39990234375,15941.8095703125
2022-01-12,7237.18994140625,7551.7001953125,16010.3203125
2022-01-13,7201.14013671875,7563.89990234375,16031.58984375
2022-01-14,7143.0,7543.0,15883.240234375
2022-01-17,7201.64013671875,7611.2001953125,15933.7197265625
2022-01-18,7133.830078125,7563.60009765625,15772.5595703125
2022-01-19,7172.97998046875,7589.7001953125,15809.7197265625
2022-01-20,7194.16015625,7585.0,15912.330078125
2022-01-21,7068.58984375,7494.10009765625,15603.8798828125
2022-01-24,6787.7900390625,7297.2001953125,15011.1298828125
2022-01-25,6837.9599609375,7371.5,15123.8701171875
2022-01-26,6981.9599609375,7469.7998046875,15459.3896484375
2022-01-27,7023.7998046875,7554.2998046875,15524.26953125
2022-01-28,6965.8798828125,7466.10009765625,15318.9501953125
2022-01-31,6999.2001953125,7464.39990234375,15471.2001953125
2022-02-01,7099.490234375,7535.7998046875,15619.3896484375
2022-02-02,7115.27001953125,7583.0,15613.76953125
2022-02-03,7005.6298828125,7528.7998046875,15368.4697265625
2022-02-04,6951.3798828125,7516.39990234375,15099.5595703125
2022-02-07,7009.25,7573.5,15206.6396484375
2022-02-08,7028.41015625,7567.10009765625,15242.3798828125
2022-02-09,7130.8798828125,7643.39990234375,15482.009765625
2022-02-10,7101.5498046875,7672.39990234375,15490.4404296875
2022-02-11,7011.60009765625,7661.0,15425.1201171875
2022-02-14,6852.2001953125,7531.60009765625,15113.9697265625
2022-02-15,6979.97021484375,7608.89990234375,15412.7099609375
2022-02-16,6964.97998046875,7603.7998046875,15396.0703125
2022-02-17,6946.81982421875,7537.39990234375,15267.6298828125
2022-02-18,6929.6298828125,7513.60009765625,15042.509765625
2022-02-21,6788.33984375,7484.2998046875,14731.1201171875
2022-02-22,6787.60009765625,7494.2001953125,14693.0
2022-02-23,6780.669921875,7498.2001953125,14631.3603515625
2022-02-24,6521.0498046875,7207.0,14052.099609375
2022-02-25,6752.43017578125,7489.5,14567.23046875
2022-02-28,6658.830078125,7458.2998046875,14461.01953125
2022-03-01,6396.490234375,7330.2001953125,13904.849609375
2022-03-02,6498.02001953125,7429.60009765625,14000.1103515625
2022-03-03,6378.3701171875,7238.89990234375,13698.400390625
2022-03-04,6061.66015625,6987.10009765625,13094.5400390625
2022-03-07,5982.27001953125,6959.5,12834.650390625
2022-03-08,5962.9599609375,6964.10009765625,12831.509765625
2022-03-09,6387.830078125,7190.7001953125,13847.9296875
2022-03-10,6207.2001953125,7099.10009765625,13442.099609375
2022-03-11,6260.25,7155.60009765625,13628.1103515625
2022-03-14,6369.93994140625,7193.5,13929.1103515625
2022-03-15,6355.0,7175.7001953125,13917.26953125
2022-03-16,6588.64013671875,7291.7001953125,14440.740234375
2022-03-17,6612.52001953125,7385.2998046875,14388.0595703125
2022-03-18,6620.240234375,7404.7001953125,14413.08984375
2022-03-21,6582.330078125,7442.39990234375,14326.9697265625
2022-03-22,6659.41015625,7476.7001953125,14473.2001953125
2022-03-23,6581.43017578125,7460.60009765625,14283.650390625
2022-03-24,6555.77001953125,7467.39990234375,14273.7900390625
2022-03-25,6553.68017578125,7483.39990234375,14305.759765625
2022-03-28,6589.10986328125,7473.10009765625,14417.3701171875
2022-03-29,6792.16015625,7537.2998046875,14820.330078125
2022-03-30,6741.58984375,7578.7998046875,14606.0498046875
2022-03-31,6659.8701171875,7515.7001953125,14414.75
2022-04-01,6684.31005859375,7537.89990234375,14446.48046875
2022-04-04,6731.3701171875,7558.89990234375,14518.16015625
