Date,1COV.DE,ADS.DE,AIR.DE,ALV.DE,BAS.DE,BAYN.DE,BEI.DE,BMW.DE,BNR.DE,CBK.DE,CON.DE,DB1.DE,DBK.DE,DPW.DE,DTE.DE,DTG.DE,ENR.DE,EOAN.DE,FRE.DE,HEI.DE,HEN3.DE,HNR1.DE,IFX.DE,MBG.DE,MRK.DE,MTX.DE,MUV2.DE,P911.DE,PAH3.DE,QIA.DE,RHM.DE,RWE.DE,SAP.DE,SHL.DE,SIE.DE,SRT3.DE,SY1.DE,VNA.DE,VOW3.DE,ZAL.DE
2022-03-30,46.93000030517578,216.39999389648438,111.08000183105469,216.3000030517578,53.290000915527344,61.869998931884766,96.0,80.26000213623047,73.95999908447266,7.328999996185303,67.41999816894531,165.14999389648438,11.633999824523926,44.290000915527344,17.209999084472656,26.325000762939453,20.579999923706055,10.680000305175781,32.70000076293945,53.439998626708984,61.36000061035156,153.6999969482422,31.584999084472656,65.3499984741211,192.39999389648438,209.1999969482422,244.1999969482422,,88.45999908447266,44.90999984741211,191.0500030517578,38.650001525878906,102.05999755859375,56.70000076293945,130.02000427246094,409.20001220703125,108.8499984741211,43.290000915527344,159.05999755859375,49.25
2022-03-31,45.84000015258789,211.89999389648438,110.23999786376953,216.5500030517578,51.7599983215332,62.099998474121094,95.19999694824219,78.5999984741211,73.33999633789062,6.927000045776367,65.4000015258789,163.0,11.510000228881836,43.54999923706055,16.93199920654297,25.229999542236328,20.719999313354492,10.541999816894531,33.345001220703125,51.65999984741211,60.68000030517578,154.35000610351562,30.985000610351562,63.810001373291016,189.85000610351562,210.6999969482422,243.0,,87.9000015258789,44.529998779296875,192.10000610351562,39.529998779296875,101.12000274658203,56.2400016784668,125.66000366210938,401.70001220703125,108.8499984741211,42.310001373291016,157.0,46.0
2022-04-01,45.65999984741211,210.10000610351562,110.91999816894531,218.0,52.130001068115234,63.02000045776367,96.0999984741211,79.0,72.5199966430664,7.176000118255615,66.0199966430664,164.60000610351562,11.821999549865723,42.5,17.243999481201172,25.100000381469727,20.90999984741211,10.40999984741211,33.220001220703125,52.099998474121094,60.400001525878906,152.35000610351562,30.719999313354492,63.4900016784668,190.25,208.0,242.6999969482422,,88.22000122070312,44.560001373291016,192.85000610351562,39.220001220703125,99.75,56.20000076293945,126.69999694824219,396.29998779296875,108.5999984741211,43.20000076293945,157.5800018310547,47.36000061035156
2022-04-04,46.099998474121094,212.60000610351562,110.08000183105469,216.85000610351562,51.869998931884766,65.06999969482422,97.5,79.8499984741211,72.68000030517578,7.142000198364258,67.45999908447266,163.14999389648438,11.805999755859375,42.334999084472656,17.368000030517578,25.18000030517578,20.90999984741211,10.414999961853027,33.060001373291016,52.34000015258789,60.400001525878906,150.14999389648438,30.540000915527344,64.26000213623047,188.14999389648438,207.8000030517578,240.39999389648438,,88.9800033569336,45.08000183105469,204.89999389648438,39.54999923706055,101.58000183105469,55.939998626708984,125.72000122070312,403.20001220703125,111.19999694824219,43.529998779296875,158.75999450683594,50.540000915527344
2022-04-05,45.540000915527344,209.64999389648438,105.26000213623047,216.10000610351562,51.130001068115234,65.05999755859375,99.36000061035156,78.18000030517578,72.16000366210938,7.085999965667725,65.08000183105469,168.1999969482422,11.765999794006348,41.26499938964844,17.591999053955078,23.905000686645508,21.1299991607666,10.324999809265137,33.130001068115234,50.65999984741211,59.02000045776367,150.0500030517578,29.2549991607666,62.959999084472656,190.25,196.9499969482422,239.8000030517578,,88.12000274658203,45.900001525878906,208.39999389648438,40.619998931884766,101.68000030517578,56.619998931884766,122.0,399.79998779296875,112.19999694824219,43.43000030517578,156.74000549316406,50.560001373291016
2022-04-06,44.130001068115234,202.5,103.77999877929688,214.6999969482422,50.310001373291016,65.30000305175781,98.08000183105469,76.30000305175781,70.16000366210938,6.868000030517578,63.400001525878906,165.9499969482422,11.394000053405762,39.474998474121094,17.610000610351562,23.295000076293945,19.774999618530273,10.239999771118164,33.15999984741211,49.58000183105469,59.540000915527344,148.60000610351562,28.149999618530273,62.22999954223633,191.6999969482422,194.8000030517578,237.1999969482422,,83.95999908447266,45.060001373291016,202.0,41.08000183105469,100.58000183105469,55.97999954223633,118.0,399.20001220703125,111.8499984741211,41.709999084472656,152.16000366210938,47.060001373291016
2022-04-07,43.59000015258789,203.6999969482422,101.94000244140625,213.3000030517578,50.349998474121094,65.5,97.9000015258789,75.66999816894531,70.05999755859375,6.760000228881836,63.29999923706055,165.5,11.399999618530273,40.209999084472656,17.56399917602539,23.0049991607666,19.170000076293945,10.130000114440918,33.369998931884766,49.33000183105469,59.619998931884766,145.89999389648438,27.559999465942383,62.279998779296875,192.5500030517578,188.1999969482422,234.6999969482422,,83.23999786376953,44.9900016784668,196.14999389648438,40.619998931884766,99.72000122070312,56.5,115.95999908447266,403.70001220703125,114.5,40.689998626708984,149.8000030517578,46.130001068115234
2022-04-08,43.97999954223633,207.60000610351562,103.30000305175781,216.9499969482422,51.36000061035156,66.83999633789062,96.91999816894531,77.0,71.55999755859375,6.949999809265137,64.54000091552734,168.3000030517578,11.843999862670898,40.525001525878906,17.1299991607666,23.614999771118164,19.59000015258789,10.4350004196167,34.900001525878906,50.459999084472656,61.52000045776367,150.85000610351562,27.549999237060547,63.220001220703125,187.25,187.0500030517578,240.6999969482422,,83.12000274658203,45.11000061035156,194.25,41.63999938964844,100.41999816894531,56.900001525878906,118.0999984741211,387.20001220703125,113.0999984741211,41.150001525878906,153.0399932861328,45.95000076293945
2022-04-11,43.369998931884766,202.39999389648438,104.41999816894531,219.3000030517578,51.400001525878906,67.7300033569336,94.08000183105469,75.98999786376953,70.9800033569336,7.01200008392334,64.27999877929688,167.25,11.923999786376953,40.16999816894531,17.139999389648438,23.829999923706055,19.415000915527344,10.380000114440918,34.349998474121094,51.0,59.939998626708984,150.5,26.93000030517578,62.38999938964844,185.85000610351562,188.10000610351562,243.39999389648438,,81.73999786376953,44.619998931884766,202.0,41.25,99.33999633789062,55.400001525878906,116.19999694824219,388.3999938964844,110.30000305175781,41.0,151.67999267578125,43.5
2022-04-12,43.619998931884766,202.39999389648438,104.5,219.1999969482422,51.959999084472656,67.41999816894531,94.0,76.08999633789062,71.83999633789062,6.418000221252441,64.5199966430664,166.4499969482422,10.807999610900879,40.42499923706055,17.055999755859375,23.75,19.375,10.194999694824219,33.91999816894531,50.91999816894531,59.459999084472656,149.89999389648438,26.895000457763672,62.5,184.1999969482422,188.5500030517578,242.8000030517578,,81.12000274658203,43.79999923706055,208.0,40.47999954223633,98.31999969482422,55.0,116.63999938964844,383.5,110.3499984741211,39.970001220703125,151.10000610351562,44.560001373291016
